"","tweets"
"269","Use Surface Rain. #JanShakti4JalShakti #groundwater #everydropcounts #WaterCrisis #globalwarming #rainwaterharvesting #saveearth #buildingconstruction #urbanplanning #innovation #greentech #sustainability #plumbing #mepdesign #mep #rechargerain #injectionwell #saverain #rain//t.co/D8edfwvccG"
"270","#JanShakti4JalShakti #groundwater #everydropcounts #WaterCrisis #globalwarming #rainwaterharvesting #WaterCrisis #saveearth #buildingconstruction #urbanplanning #innovation #greentech #sustainability #plumbing #mepdesign #climate #mep #rechargerain #injectionwell #saverain #rain//t.co/ISOiC0nLdu"
"271","I would like to have #GlobalWarming baby."
"272","The climate in southern Georgia is confusing native fauna #GlobalWarming//t.co/Sgt5K5Io01"
"273","If 2020 #Thanksgivingtravel is an indication of how folks behave when the lives of others r at stake, we r in deep shit re #GlobalWarming! @ClimateHuman @KHayhoe @ssteingraber1 @billmckibben @ClimateReality//t.co/K7hgUpWCKy"
"274","CATASTROPHIC, December #GlobalWarming forecast ahead for Melbourne, OZ ... #BBQsummer #ClimateEmergency @Bergeonline @RoyPentland @SylviaDeeDee @dbirch214 @AndyOz2//t.co/eGMrVnqBUb"
"275","""Paris is a floor not a ceiling"" There you have it. #ClimateAction #ClimateEmergency #GlobalWarming"
"276","Wait a minute...is #Batman the bad guy? #BruceWayne #ImRich #GlobalWarming #SaveTheRainforest #MrFreeze #PoisonIvy//t.co/1TgqM0jZTI"
"277","1 in 3 species of all plants & animals may face extinction by 2070, according to a study based on data from hundreds of species around the globe: #Biodiversity #GlobalWarming #ClimateChange #Sustainability//t.co/malCzwDD3Y"
"278","Together we CAN change the world. . . . #farmlife #farmeryeo #holisticfarming #regenerativegrazing #regenerativeagriculture #globalwarming #climatechange #soilhealth #carbonsequestration #homegrown #chemicalfree #respectfullyraised #wefarmforthefuture//t.co/RCeSlja5by"
"279","Ok this thunder is unnerving... I dont like it. 2020 has been one hell of a year and right about now I want to get off this ride please #globalwarming? #wtf2020 #stopthebus"
"280","We had a mosquito. In Minnesota. In DECEMBER. But hey, global warming is a hoax, right? #GlobalWarming//t.co/ys6GBchEBk"
"281","I wrote a brief overview about #ClimateChange challenges and I elaborated on how complicated tackling #GlobalWarming is. Check it out here://t.co/D4Uk0RqZlP"
"282","Ahead of Youth-Led Day of Action, Young Elected Officials Push Biden to Enact National Emergency Climate Plan #GlobalWarming #ClimateActionPlan//t.co/wwZ8Icqu92"
"283","We are a company called humanity and we are nearly 8billion in strength. We are hiring #ArtificialIntelligence systems that can solve for us issues such as #GlobalWarming, #climatechange. To sustain the ecosystem, and preserve of all species of life. #Love & #freedom to all."
"284","Warmest #oceans ever recorded//t.co/1igW0zZ640 @_OScience via UHManoaNews #oceanography #globalwarming//t.co/qmMRyZmZw1"
"285","Global Consensus Is Hard to Find. (SDGs)//t.co/crhbkPSOt9 via @YouTube #SDGs, #globalconsensus, #Covid19, #globalwarming, #consensus2020, #globaleconomy, #globalsustainabilityforum, #globalwarming, #greenhouse, #conservative, #sustainabledevelopment, #climatechange,"
"286","Alarge & growing gapbetween current international commitments & what would be needed to avoid exceeding Paris Agreement to limit #GlobalWarming to well below""2C. If nothing changes 1.5C may be exceeded by 2031 & 2C may be exceeded by 2043//t.co/DXZ8ykNaEH #ClimateChange"
"287","La laguna rimarr quasi totalmente isolata per oltre 36 ore in cui non vi sar ricambio di acqua. Evento storico che si ripeter vista la frequenza delle maree eccezionali. #globalwarming #ecology #veneziapulita #venezia #mose #ecologia//t.co/Fgb7M1Ar9a"
"288","After virus #GlobalWarming is waiting//t.co/JKpTe0yVZm Satellite Data Shows Amazon Rainforest Is Drier And Could Be At Risk For Fires//t.co/anuwBofxmq"
"289","This braket time Without emission can't stop decades of #GlobalWarming//t.co/uF2rQgj5NT Don't look now, but the 2020 Atlantic hurricane season could break records//t.co/6OV110VcB7 via @grist"
"290","#GlobalWarming//t.co/RQeDVrElH8"
"291","//t.co/f36DWaCwWp #GlobalWarming #fossilfuel"
"292","They can't make a programme about a man made waterhole without the hidden message of another man made event #globalwarming #waterhole #africasanimaloasis @BBCTwo"
"293","THIS! The great thing about climate SCIENCE is it exists whether you believe it or not! Who's actively learning from it, and who's still denying it? @TheValorieClark #stopplastic #zerowaste #plasticfree #StopPlasticPollution #GlobalWarming #climatechange//t.co/rnTRRd85Zn"
"294","It's not just the nearly 7,900 wildfires that have consumed more than 3.4 million acres and claimed 26 lives in California that have Arthur Gies looking online for apartments in New York. Read more://t.co/xUzaOsF9OQ #climatechange #globalwarming #demobgas"
"295","So on the eve of #Brexit the sea froze and thousands of refugees skated across the channel... Britain remained joined to mainland Europe until #GlobalWarming flooded all... Happy Christmas !"
"296","Is it right that I can pick this in my garden in December in the UK, or that I have Summer flowers blooming in my lawn?! #GlobalWarming//t.co/th3XTv9VB9"
"297","Looking good on #photography stressful #CoronaLockdown brought reversal of #GlobalWarming brings joy & fun like #lol but confinement is neded to stop #coronavirus Voluntary #lockdown is even better. Indian PM Modi did it//t.co/FswPxaOept Can it aid//t.co/BJ2jbvuWLw"
"298","//t.co/7tgMP8ihAH #Ecotonoha by #YugoNakamura a project to nurture a #VirtualTree collaboratively, and contribute to the actual environment to cope with #globalwarming. As one makes Ecotonoha's leaves, by leaving a message on the virtual tree, it keeps on growing"
"299","#CO2 is life & #GlobalWarming a blessing Data show that, despite considerable political turmoil & ongoing conflicts in the region, the naturally arid #MiddleEast has seen its crop production grow as the earth has modestly warmed. #ClimateChangeIsReal//t.co/puTGJQkBz9"
"300","Could crystallized water trapped in California stalagmites help predict #ClimateChange? Distinguished Professor Isabel Montaez looks back 20K years to foretell how weather in the #Sierra may shift with #GlobalWarming. Read more in our magazine://t.co/WAMbftkdEJ @ucdavis//t.co/LoscWwXgUL"
"301","//t.co/lwBbljplAc Yes, these are the people who tell us to #FollowScience #GlobalWarming to be solved by eating bugs."
"302","China unveils plans to expand experimental weather modification program to area 1.5 times the size of India #China #India #Weather #GlobalWarming #ClimateCrisis #ClimateChange//t.co/vyVBQoaxB7"
"303","Stream video in standard definition NOT 4K or UHD to cut carbon emissions: Royal Society urges #HD #SD #UHD #4K #ClimateChange #ClimateCrisis #GlobalWarming #Video//t.co/uJp307SC9B"
"304","People who thinks that climate change only effects the Earth, remember we all are part of it. #ClimateAction #GlobalWarming #FaceTheClimateEmergency #India @jayashreenandi//t.co/vRs5ylpP8X"
"305","Try getting your spouse to sign up for a 65% emissions reduction by 2030. See how that goes. #GlobalWarming #savetheplanet #SaveTheWorld #stopFarting #farts #emissions #gases #greenhousegas"
"306","#ClimateChange is here and it is deadly. 2020 is on track to be one of three hottest on record, completing run of six years that were all hotter than any year ever measured before. #WMO. #GlobalWarming #GoGreen //t.co/cd1NlGz9jC"
"307","#ClimateChange is here + deadly. 2020 on track to be third hottest on record, after run of 6 years that were all hotter than any year ever measured before. #WMO. #GlobalWarming #GoGreen GRUNTVEGAN | essential news and reconnaissance for vegan activists.//t.co/lN5dORyzbW"
"308","#Floods are the most common #natural #hazard in the #UnitedStates. #ComicsForClimate #ClimateChange #ClimateAction #GlobalWarming #Icemelt #Flooding #LosingHomes #PeopleAreDying #FaceTheClimateEmergency//t.co/1nadQtoysY"
"309","#Scientists recently made predictions that 2 #shark #species in #Australia may move southwards away from the #equator at a rate of 40 miles per decade to escape #warming waters. #ComicsForClimate #ClimateChange #ClimateAction #GlobalWarming//t.co/1V8CNW96P5"
"310","#People also #underestimate the force & #power of #water: just 6 inches of rushing water can knock over an #adult & 12 inches of rushing water can carry away most #cars. #ComicsForClimate #ClimateChange #ClimateAction #Flooding #Extreme #GlobalWarming #FaceTheClimateEmergency"
"311","#ExtremeHeat could result in a #MassMigration of more than 30 million people toward the #UnitedStates border over the next 30 years b/c of rising #Sea level. #ComicsForClimate #ClimateChange #Globalwarming #ClimateAction #GoGreen #GreenEnergy"
"312","#Human-caused #SeaLevelRise is accelerating daily tidal #flooding in more than 25 #Atlantic & #GulfCoast cities. #ComicsForClimate #ClimateChange #ClimateAction #GlobalWarming #LosingLife #HopeYouCanSwim #ActOnClimate #FaceTheClimateEmergency"
"313","$ITOX unknown at .01 52WKHIGH 26 cents!//t.co/nmWlu1Q0zK #technology #business #finance #AI #IOT #tech #environment #data #startups #innovation #marketing #startup #entrepreneur #wine #GlobalWarming #impactinvesting #economy #business #sustainability #tech #Engineering"
"314","Slow And Steady Won't Win the Climate Race #ClimateAction #Climate #GlobalWarming #ClimateEmergency //t.co/oLObn2FqSy"
"315","To limit global warming to 1.5C (2.7F), countries need to reduce fossil fuel production 6%/yr starting now to 2030 #ClimateAction #GlobalWarming #Energyindependence #CarbonAction #sustainableplanet//t.co/sbYopfYuUx//t.co/sbYopfYuUx Photo: Marcin Jozwiak-Unsplash//t.co/BV7jsP8kcl"
"316","//t.co/b6ZgUSCxlA #ActOnClimate #Urbandale #ActOnClimateChange #Iowa #ClimateAction #ClimateStrike #GlobalWarming #ClimateChange #ClimateActionNow #ClimateCrisis #ClimateJustice #FaceTheClimateEmergency #TimeToAct #ClimateFriday #ParksAndRec #ClimateJusticeNow"
"317","Join us on 12/8, for a new issue briefing event: The Health Effects of Climate Change. Our EIC @AlanrWeil will run a panel with authors from our Dec. issue exploring how #ClimateChangesHealth. RSVP://t.co/NUvd7X0HxA #GlobalWarming #EnvironmentalHealth//t.co/1myy0h3AQL"
"318","Really @mrmarkdolan @talkRADIO #GlobalWarming is nearly as Big a Scam as this #Pandemic probably they are both sides of the Same coin!"
"319","Why is air quality so important?//t.co/dXZ9Px8kZc #pollution #environment #climatechange #nature #ecofriendly #globalwarming #airpollution #cleanair #airquality//t.co/BjMAnQ7yOu"
"320","#AiiFastFactFriday #GlobalWarming//t.co/58yPQN312i"
"321","it doesnt even surprise me that the self-centered on the far-left and far-right continue to deny the facts and truths when it comes to #globalwarming #climatechange #coronavirus #covid19"
"322","#Vegan #VeganFuture #AnimalRights #veganism #nonviolence #GlobalWarming #Peace//t.co/YwGZlfXNen"
"323","Outstanding exhibition in Year 6. Amazing presentations for @teentechevent Focusing on a range of environmental issues. #GlobalWarming #Sustainability #solarenergy//t.co/dOWMBVCfeg"
"324","Plant some tree's to Save Nature, for good environment for sake of good health of urself, ur family & upcoming generations. #climatechange #biodiversity #nature #sustainability #globalwarming #farmer #health #environment #ClimateAction #ClimateCrisis #India//t.co/TfvbZJb0RD"
"325","Quick! It's melting! #ClimateAction #GlobalWarming #XR #Snowing #collage #collageart #ArtistOnTwitter #kolaj #illustration #artwork//t.co/aeI9ltiIOa"
"326","#GlobalWarming Advanced in #2020 Despite the Closure of Industries and the Reduction in Air Traffic //t.co/kvQvECs5pY"
"327","When ppl claim science has a issue of reproducibility; it is certainly true for this one~ #GlobalWarming #EpicFail #experimental//t.co/ZdbAeR5lWT"
"328","Denmark is stopping oil extraction from the North Sea not because they can't keep making billions off it but because it's the right thing to do. We need many many many more countries and companies decide #GlobalWarming is more important than profits. #ClimateAction//t.co/jKMe3PFxXv"
"329","My work about the high water in Venice is featured on #PlanetBook, a new book by @Contrastobooks that shows the climate crisis through two hundred images by international authors. #AcquaAlta #PlanetBook #Venezia #italia #ClimateChange #GlobalWarming #TelmoPievani @UniPadova//t.co/rLxNXGmqGZ"
"330","Game over, man! Game over! Buy here://t.co/BxLbcTCcdr #climatechange #climate #climatechangeisreal #climateaction #earthonfire #worldonfire #globalwarming #apocalypse #gaming #gamer #8bit #oldschool #oldschoolgaming #gameover #2020vibes//t.co/mfe6eMTwdp"
"331","Do you know that climate change can eventually cause more serious damage and great destruction in every form? #burevi #cyclone #tornado #climate #climatechange #globalwarming #climateaction #temperature #disaster #naturaldisaster #nature #green #retree #ReTreeSL #retreerush//t.co/GnHPrRb1Hn"
"332","#Climate change is making people sick and leading to premature death, according to a pair of influential reports on the connections between #GlobalWarming and health. -@rhersher We have the solutions to protect our climate and health: Demand #CleanerCars!//t.co/4f1bjMFW4u"
"333","#Forests are the world's largest storehouses of #carbon. They provide #ecosystem services that are critical to human welfare including absorbing harmful #greenhouse gasses that contribute to #GlobalWarming. @savetheearth @ea_redd #GoGreen @MakCAES @min_waterUg #ClimateAction"
"334",".@CBSThisMorning it's almost like we are covering wild fires in California every year Yes! Yes you are! It's not #GlobalWarming"
"335","End is near... #RIPNature #GlobalWarming #savetheplanet #SaveNature #JustStopItPlz//t.co/a5Pr4LaoIL"
"336","Doomscroll no more! These climate-concerned #TikTok stars are here to inspire you. #EcoTok, a collective of... #ClimateSolutions #ClimateAction #ClimateActionNow #GlobalWarming //t.co/1VfQOBNqoR"
"337","We, young people, are unstoppable. - Greta Thunburg _ Tag a young person who is working to make the world a better place #gretathunberg #environment #environmentalactivism #youth #climatechange #unitednations #globalwarming @gretathunberg _ Repost from @dBcreativeco//t.co/JdZav7GkR3"
"338","? #MassExtinction #GlobalWarming #ClimateChange//t.co/iSF1DMmdm1"
"339","Su ! ...#livingonearth #sustainibility #recycling #water #Globalwarming//t.co/clcseC0013"
"340","We're expanding our nursery of #NativeTree with #Reuse of waste plastic packets Read://t.co/paZFZatMTz #WeMeanToClean #CleanDelhi #SwachhBharat #WasteManagement #EndPlasticPollution #Afforestation #GlobalWarming #ClimateAction #WMTCBlog//t.co/F9fO1dxCCN"
"341","We're expanding our nursery of #NativeTree with #Reuse of waste plastic packets Read://t.co/cPL0hYGfVo #WeMeanToClean #CleanDelhi #SwachhBharat #WasteManagement #EndPlasticPollution #Afforestation #GlobalWarming #ClimateAction #WMTCBlog//t.co/GFXbRryulN"
"342","We're expanding our nursery of #NativeTree with #Reuse of waste plastic packets Read://t.co/MBO044oGHu #WeMeanToClean #CleanDelhi #SwachhBharat #WasteManagement #EndPlasticPollution #Afforestation #GlobalWarming #ClimateAction #WMTCBlog//t.co/SrmpQOcnEe"
"343","# @antonioguterres: //t.co/xkoPeMg5Os . #UN #SDG #climatechange #globalwarming # # #//t.co/h4l01oH3FG"
"344","? //t.co/0OdcDMoQeb . . #UN # #carbonneutrality #climatechange #globalwarming # # #//t.co/zxbINiBd1y"
"345","# , //t.co/oVdMAGhy0t . #UN #UNEP #SDG #climatechange #globalwarming # # # #//t.co/YGDt64FzBN"
"346","Watch: Amongst the most striking evidence of #globalwarming is the disintegration of mountain #glaciers around the world. Have a look at a mountain-range in the north-west where the problem is all too apparent.//t.co/9LAw3AmOTj"
"347","Are you waiting for the world to shut down? Say goodbye to ignorance and say hello to a new world with #sustainify #ClimateCrisis #climatechange #GlobalWarming #ZeroWaste #sustainability #Sustainable//t.co/Q1MF4AK20E"
"348","Gnelensek yeridir #globalwarming"
"349","#climatechange and #Life & #Health #Lancetcountdown urgent call to act now to avoid #publichealth #crisis @alicialamalicia @visualpersist @swissre #insurance #wildfires #globalwarming #lifeinsurance #biodiversity #pandemics #environment//t.co/8na4UZBura"
"350","#lifeinsurance must start to think about the impacts of #climatechange and #health as the key risk driver in the coming decades #wildfires #globalwarming #biodiversity #ecosystemservices #emergingrisks @swissre @lancetcountdown//t.co/eQ6qnkJmY1"
"351","Abolfazl Ghaderian has recently joined our team. He is going to work as a postdoctoral researcher in advanced functional #materials for solar cells applications so his commitment with the environment and #globalwarming is clear//t.co/OJFqnEZhIg @ChemistryViews @ICIQchem"
"352","""Isn't it too late to reverse #globalwarming anyway?"" Have a hard time keeping calm when someone throws this sentence at you?! Learn how to respond to a #climatechange skeptic in this #thread! Inspired by @AtmosMag"
"353","As a company focused on a brighter, #sustainable future, we pride ourselves on a net-zero approach to projects, but what does 'net-zero' mean? Net-zero is the balance between greenhouses gases produced and the amount removed from the atmosphere, tackling #globalwarming.//t.co/3kCOXgHQ2O"
"354","#COVID19 and #GlobalWarming are a match made in hell. Read more://t.co/lYQC3Yr7S6//t.co/JZK2wJ0zPB"
"355","#FourFactFriday Planting more trees will absorb more carbon dioxide, reducing the amount of greenhouse gases in the atmosphere. Plant a tree today://t.co/lz1my5Lnol @nationaltrust #treeplanting #globalwarming #climatechange #rainforest #trees #logging #carbonemissions//t.co/t1hU8AsFrC"
"356","This Climate Change Is Real tote bag design is based on the California flag, and shows how hard we must work to ignore science. #ClimateChange #californiafie #CaliforniaFlag #California #GlobalWarming #totebag #threadless #7077shop //t.co/NvstDJzLuV//t.co/GsGD4BuN3J"
"357","The benefits of green spaces around our homes and buildings are extensive. A mature tree can absorb up to 150kg of CO2 per year.//t.co/QotxNxNRqk #climatechange #globalwarming #greenspaces #urbantrees//t.co/L1Eb11gjf4"
"358","//t.co/GCXIK6oPS2 via @pond5 #globalwarming #royaltyfreemusic #librarymusic #stock #productionmusic #instrumental #soundtrack #filmmusic #backgroundmusic #darkambientmusic #ambient #ambientmusic #documentary #news #virus #covid_19 #covid #science #pharma #scifi"
"359","//t.co/b0sd9RweY8 via @pond5 #globalwarming #royaltyfreemusic #librarymusic #stock #productionmusic #instrumental #soundtrack #filmmusic #backgroundmusic #darkambientmusic #ambient #ambientmusic #documentary #news #virus #covid_19 #covid #science #pharma #scifi//t.co/l5AmswNrNF"
"360","The weather's gone mad. Snow in December. Who'd have thought? Damn this global warming. We must do more about our emissions. #climatechange #COP26 #GlobalWarming//t.co/WDtRNxZeKx"
"361","Denmark To Stop Oil And Gas Exploration In Danish North Sea #breaking #breakingnews #fossilfuels #climatechange #climate #globalwarming #oilandgas #oil #opec #share #worldnews #cloutnews//t.co/gbqTGhPuQ1"
"362","#globalwarming #climatechange @Alex_Verbeek @helgavanleur #Cartoon by @cartoonmayr//t.co/1NcaLA4meP"
"363","The smiles and joy that come with giving back to Mother Nature #eco #earth #warriors #kenya #mother #nature #green #environment #plant #trees #sustainable #tomorrow #climatechange #globalwarming #pollution #drought #poverty #natural #climateaction//t.co/y0IXdEiFYv"
"364","Livelihoods Update: 4 December 2020//t.co/aTDokqvvpC #LivelihoodsUpdate #4December2020 #news #reporate #RBI #NABARD #APEDA #SHGs #farmersprotests #globalwarming"
"365","Over-exploitation, over-consumption of resources are reason for #ClimateCrisis, #GlobalWarming #Floods today,says Saurav Malhotra #RuralFutures @naturenomics at launch of co-creation model @ImpulseNGO, 8th edition of Eastern Himalayan @naturenomics Forum @UNEP #SDGs #GlobalGoals//t.co/kYKxuR2nmi"
"366","As @exxonmobil, @Chevron, @bp_plc, @Total, @eni, @GazpromEN, @Aramco, @Equinor, etc said ""You'll never have a clean car. We decide pieces of shit!"". #climatechange #ClimateAction #ClimateCrisis #ClimateEmergency #FridaysForFuture #GlobalWarming @UNFCCC @GretaThunberg @FAOclimate"
"367","Passano la vita a spiegarti il #GlobalWarming, il #climatechange e a farti le lezioncine. Poi nevica, com' ovvio e naturale d'inverno, e piangono che vogliono il sole ed il caldo. L'Italia nel mondo primeggia solo per questo ormai: gli idioti."
"368","This is what some people describe as a ""slow slope"" and ""us, being in control"" #ClimateCrisis #climatechange #GlobalWarming #GretaThunberg//t.co/sctCOS6r45"
"369",""" Je soutiens comme un certain nombre de gens, que les fait scientifiques ne sont pas des opinions, ils s'imposent nous et nous ne pouvons pas les ignorer"" //t.co/siDktlMBlf #ClimateAction #Energie #transition #nucleaire #GlobalWarming"
"370","#British Prime Minister @BorisJohnson announced a new ambitious target to reduce the country's #greenhouse gas emissions by at least 68% by 2030, compared to 1990 levels. #climatechange #globalwarming #ecofriendly #greenenergy #renewables #cleanenergy //t.co/EkNWA68RPZ"
"371","Jill Sobule Sings To Al Gore//t.co/HhP8qWLJ4Z #music #funny #GlobalWarming #TED #women #TEDxWomen"
"372","As a consumer, you are in a unique position to reduce carbon emissions. Every time you make a//t.co/8GN5TwJYGw enabled payment we reduce carbon emissions and offset your carbon footprint. #startpayinggreen #climatechange #globalwarming//t.co/RdQTpZQtXp"
"373","#NewZealand has declared a #climatechange emergency and committed to a #carbonneutral government by 2025, in what the prime minister Jacinda Ardern called one of the greatest challenges of our time. #zerocarbon2030 #globalwarming #climateemergency @guardian//t.co/bEMogXM8UZ"
"374","6 //t.co/b2WidyOCLZ #environnement #climatechange #GlobalWarming"
"375","Il #CambiamentoClimatico incide negativamente anche sugli #animali artici. L'aumento delle #temperature, infatti, ha comportato modifiche preoccupanti nelle #abitudini di diversi animali #climatechange #GlobalWarming #AnimaliArtici//t.co/jlQ7M4yVzX"
"376","Climate Change Leads to Earlier Onset of Autumn, Limits Trees' Ability to Store Carbon: Study //t.co/QVgBBnN1wM #CSR #climatechange #autumn #carbon #GlobalWarming @EPFL_en @ScienceMagazine #SaveEarth//t.co/ZzGKIi978H"
"377","See this Instagram post by @manueloesch//t.co/o0cqMJGpLV - #ClimateCrisis #globalwarming #ParisAgreement"
"378","Why Hydrogen Fuel Cells Cars are not a Viable Option //t.co/SvjWsdp3pj #hydrogencars #FuelCell #hydrogenvehicle #alternatefuels #GlobalWarming//t.co/gTRF27IGzS"
"379","Australia is leaning on Pacific nations more than ever to counter China's growing influence. Yet we are doing little to save these nations from the effects of #GlobalWarming. Join me in supporting the PET - Pacific Power Up Campaign//t.co/qSdCMND3oI"
"380","Blockchain can power traditional and new technologies to produce clean energy and help in the fight against #GlobalWarming #blockchain #cleanenergy #UN #globalgoals #blockchaintechnology #greenenergy #globalwarmingisreal #globalwarmingawareness//t.co/c8UzIVW4I2"
"381","I Am the Creator of My Misery #draw #drawing #art #penandink #butterfly #pig #penguin #gobalwarning #globalwarming #wedorecover//t.co/j7OvYkGcdm"
"382","Watch #ThomasSowell : #GlobalWarming Manufactured by Intellectuals?//t.co/7NCU3FjneW//t.co/pGLisLVLAJ"
"383","How to stop Adani: BREAKING: Amundi speaks out against @TheOfficialSBI considering a A$1bn loan for Adani #coal. @CreditSuisse will you do the same & ask SBI to rule out funding Adani's mine which will turbo-charge #GlobalWarming? #StopAdani"
"384","my global warming plan: buy all the bags of ice in the world and return it to the arctic #GlobalWarming"
"385","Trees & shrubs surrounding our homes are huge benefit: increase property values absorb carbon,reducing #globalwarming provide oxygen absorb pollutants stabilize soil mental health boost 2021 #greenup #trees #tree #nature #green #shrubs #friends #family #love #happy//t.co/cnRU8ovkEA"
"386","Brave New World Aldus Huxley interview. Scary the prognostications. //t.co/VLd6sIV8Gd #Covunism is a lie built on an inconvenient truth. The baby boomer bust #MilankovitchCycles cause #climate change, #GlobalWarming, #GlobalTsunamis at the vernal equinoxes"
"387","Right or left, let your hand keep writing. And that hand can write both words and actions. Let the latter prevail. #environment #climatechange #SocialJustice #GlobalWarming #future #optimization//t.co/UiahOHd4g7"
"388","BREAKING: Amundi speaks out against @TheOfficialSBI considering A$1b Liam for Adani #coal @CreditSuisse will you do the same & ask SBI to rule out finding Adani's mine which will turbo charge #GlobalWarming ? #StopAdani"
"389","All countries jointogether in mitigating the #ClimateChange effect globally.Avoid #Fossilfuels switch to #eco-friendly #NaturalResources to control severe #pollution. #GlobalWarming dueto #GreenHouseGases associated with pollution. Build Safe #environment for #comfortable #lives."
"390","Fire! FIRE!! Shhhh. We don't want ti alarm people. #GlobalWarming #ClimateCatastrophe//t.co/dUZbxhKrN3"
"391","According to racist @USTechWorkers Immigrants caused - - #GlobalWarming #climatechange #job losses #COVID19 #coronavirus Wife's Pregnancy #recession #MeToo @JoeBiden victory #BidenHarris2020 #UFO sightings #israel peace deal Bermuda disappearances #AOC's $58 jersey #S386"
"392","Not even a @ReserveBankofNZ file note on biggest #globalwarming #climateemergency risk to bank lending!//t.co/xY05lE6PnK"
"393","Climatetrade announces a partnership with #Algorand #algo and Investment from Borderless Capital #Blockchain #climatechange #GlobalWarming //t.co/IlXXfevzrb"
"394","2020 set to be one of the warmest years on record #2020 #globalwarming//t.co/IBPKL79oDL"
"395","#GlobalWarming //t.co/OcL76BgVeL"
"396","Thank you to those Cthulhu Goon supporters that made this donation possible!! @4ocean #4ocean #ocean #recyvle #globalwarming @charlie_rolsky @gretathunberg #peace #change #greennewdeal #climatechange #selfsustainable #vegan #enviornment #biology #biodegradable//t.co/XIyChgg05J"
"397","Attempt to adjust your set! Dammit! @Lab_Casual @4ocean @SurfriderSD #globalwarming #clothingbrand #climatechange//t.co/TtYTBYUTwH"
"398","Roots Of #Resistance Just released and on a Dozen Best Seller Lists at Amazon. Get your copy and help start a nonviolent #revolution.//t.co/rmfnkjkypM #Globalwarming//t.co/fqFHsYTwWU"
"399","Climate change resides and supplant humanity. We didn't see it coming. A day we could no longer hope could arrive. #climatechange #ClimateEmergency #ClimateChangesHealth #ClimateChangeIsReal #WorldChange2021 #Ecosystem #hope #Humanity #health #GlobalWarming"
"400","It is good to highlight global warming but attributing Covid-19 as a result of global warming is just too far fetched. #GlobalWarming"
"401","PUBLIC: A Journal of Imagining America, ""Global Warming and Radical Hope,"" Now Available! //t.co/RGEJjJfc00 Co-edited by guest editor Jack Tchen and journal co-founders, editors, and designers Kathleen Brandt and Brian Lonsway. #climatechange #globalwarming #radicalhope//t.co/D1kR5anNvg"
"402","Wintery December expected Hang in a minute Wheres this fucking #GlobalWarming we were promised Weve paid for it Already!! HEAVILY!!!!!"
"403","Something very suspicious about the #micromobility sector in the UK. Just been running the numbers, and they don't add up. Worse still, they'll never add up! Either dodgy deals or a front. And the only people rooting for #globalwarming are the #escooter operators #mobility"
"404","UN Scientists Draft a Build Back Better' Climate Plan for the Planet//t.co/lQ2Y8T7fnE #climatechange #environment #nature #sustainability #globalwarming #savetheplanet #climate #climatecrisis #climateaction #earth #climatechangeisreal #gogreen #sustainable YOUR CHOICE //t.co/t9UcOFy33s"
"405","#GlobalWarming #climatechange #ClimateCrisis//t.co/kd2BaP1xNH"
"406","ej kan i huske dengang man kunne bygge en snemand.. Det var bare gode tider ! #Sne #GlobalWarming #CO2 #mee2"
"407","When it's getting cold outside, I just start another container on my old macbook pro #intel #GlobalWarming//t.co/yFMZ9PWRN4"
"408","2020 is likely among the three warmest years on record, at 1.2C (2.16F) above the pre-industrial level. There is at least a one in five chance of temporarily exceeding 1.5C by 2024, says the WMO. Read more://t.co/7lKDR6Lkyv #climatechange #climate #globalwarming//t.co/C8h4qqbeD0"
"409","Wild strawberry and flowers on December 3rd, in the Alps at 600m altitude. #GlobalWarming ?//t.co/V9V2hlmvPT"
"410","#foodsecurity Effects of #ClimateChange on #CropYields Impacts are becoming increasingly obvious. Globally, in all industries, effects of #GlobalWarming are presenting significant challenges to be overcome to secure our future. | @AZoLifeSciences//t.co/xG2cFRpFT2"
"411","Hoe de WEF & Co. ons allemaal failliet willen laten gaan! ""You will own nothing!"" The tools of #WEF & friends are ""Manmade"" #GlobalWarming, #COVID19, Racial divide, etc. Just tools and you and your family are the broken objects #GreatReset#COVID19//t.co/d2XLyfinNc//t.co/LIvfKF5ds2"
"412","WOW! The World's biggest offshore wind turbine! One of these huge machines can generate enough power for 16,000 homes.//t.co/TxYSMDOdSX Renewable energy continues to become cheaper and more reliable. @DenverChannel #climatechange #globalwarming @ClimateCentral//t.co/8j9jGHIuRg"
"413","Burping cows are one of the culprits of our #ClimateCrisis: Microbes in their multi-chambered stomachs help them digest, fermenting their food, unfortunately producing huge amounts #greenshousegas methane adding to #GlobalWarming #ClimateEmergency #ExtinctionRebellion #2020EBE//t.co/n6msr4Jzc8"
"414","Day 338... damn it is too warm for december in my opinion #globalwarming @ Lawrence, Kansas//t.co/lwYUP9uKCz"
"415","El ltimo GZ-ARTNEWS!//t.co/vsvM0ViMHv Read what GaleriaZero has to offer more.... @k_a_shores #globalwarming #rstats"
"416","Kann mir mal jemand erklren, warum jetzt so ein Trara ums #Skifahren gemacht wird? Unsere Enkel werden in ein paar Jahren #Schnee eh nur noch vom Hrensagen kennen. #Klimakatastrophe #GlobalWarming"
"417","//t.co/5MOxvnnqX3 #Nature #Climate #Climatechange #Saveourplanet #Conservation #Cedars #Trees #Environment #Environmentalist #Wildfires #GlobalWarming #NoPlanetB #FridaysForFuture//t.co/wiD1QrgMQz"
